Tickers,marketcap
ABC,26044021819
NTRS,26019948993
BXS,#N/A
CDW,25933951088
MPWR,25893665510
RNG,25458713959
HES,25453348518
RPRX,25452737160
DLTR,25433026755
BKR,25374790000
ON,25246848302
GWW,25236060501
LYV,25233799899
TSCO,25171303700
ARES,25085626397
CCL,25063525924
HZNP,24920812905
DOV,24889178043
PLUG,24863988860
HIG,24420349275
EIX,24405308380
PCG,24340624394
INVH,24204935235
KMX,24124064896
TER,23829599014
IR,23823314335
MAA,23607956258
HRL,23557810920
XYL,23537861188
HBAN,23504991250
YUMC,23405696839
AVTR,23177481634
PKI,23169094255
STE,23160325955
VIAC,22915753136
POOL,22901456676
RF,22831121392
FOXA,22762366944
FOX,22762366944
CZR,22660044000
ESS,22548376470
TYL,22544767102
BIO,22464352920
KEY,22429192180
SUI,22361490505
TW,22301188785
CERN,22069637854
DRE,21963636103
CHD,21953823680
CTLT,21920623922
MKC,21867767275
TDOC,21839013678
WAT,21780178794
VTR,21779032196
TRMB,21759918808
AEE,21741796544
PODD,21714351677
EXPD,21714177843
DTE,21689697134
TTWO,21656742862
TRU,21650800000
K,21565783832
ULTA,21552768575
RCL,21547573308
UPST,21541115079
PPL,21470475026
CG,21441557618
FE,21232364400
MGM,21145401962
DT,21140873819
CFG,21037207580
HAL,20989063515
JBHT,20919799803
TDY,20731690657
COO,20595300357
BR,20588840651
RJF,20574354996
MTB,20572790386
AMC,20558428000
ALNY,20436239373
ETR,20419689613
CLX,20400121883
BCEI,#N/A
ENTG,20294650775
NTAP,20079675051
SSNC,20054220389
FANG,19920135722
TECH,19824468760
CINF,19680137674
BPFH,#N/A
FLT,19611081388
AGR,19526723053
DRI,19500181225
CRL,19474712929
GPC,19357957203
DISH,19322067472
HPE,19149852449
SBNY,19099966140
UI,19090804072
IP,19084330023
AMCR,18980632395
J,18950305267
HEI,18913350827
CE,18904063544
WDC,18871883251
DPZ,18677328596
AVY,18644736862
HOLX,18641456274
TXG,18613804607
PFG,18446178575
BXP,18432414200
DGX,18327105000
NVR,18297685966
MOH,18292048071
PEAK,18226031822
BRO,18222182639
WAB,18142187424
AKAM,18118133996
BPYU,#N/A
VICI,18075910770
CDAY,18068957450
LYFT,18044520296
BEN,18019630741
BURL,17983581116
IEX,17871204307
ROL,17708837137
QRVO,17690823600
MKL,17628338908
ALLY,17523138154
CMS,17381844000
UDR,17283514641
CLR,17273692800
NUAN,17257805343
FDS,17190013745
VTRS,17064534814
LKQ,17063895114
TXT,16979352886
CPT,16928965556
ESTC,16815402864
CNP,16727830519
PWR,16669568592
PPD,16603385400
MASI,16558772155
AES,16481164678
ABMD,16419589832
QS,16395160888
ATH,16356996854
MAS,16283070230
ZG,16243899105
Z,16243899105
ACGL,16225342452
ACI,16199890000
UAL,16135278487
BSY,16082416509
COUP,15957587627
TFX,15932900764
EXAS,15801633434
WSM,15653207132
ELAN,15626446180
EMN,15576253240
NDSN,15542742455
ELS,15542497315
CAG,15469996050
GME,15458928574
CAR,15073189207
AAP,15059698857
BMRN,15005089198
TREX,14938746558
PTON,14914846571
VER,14860595975
NLOK,14852277033
CLVT,14830010193
EVRG,14790024150
MKTX,14785460120
PCTY,14764654535
CGNX,14677852386
OMC,14651650576
LUMN,14559772953
WHR,14557873801
FNF,14531033832
KIM,14510718038
CAH,14495174333
UHAL,14494078607
INCY,14492632400
L,14470164112
WPC,14466886016
FBHS,14455702950
BEPC,14428851582
WRB,14348500284
MTN,14345649581
IPG,14309067662
PTC,14300612725
RGEN,14292079835
OPEN,14175852876
MOS,14168663582
NWSA,14105386547
NWS,14105386547
EQH,14077844457
CCK,14057786244
CBOE,13965954899
FND,13924350589
FFIV,13916598920
CF,13848670055
LNT,13842448861
SJM,13772365184
IRM,13768073749
HWM,13658162363
MORN,13640584021
AVLR,13626674695
RH,13611742974
HAS,13546385159
DOCN,13539908458
FMC,13447066170
GLOB,13424176633
BG,13367686240
WLK,13358667042
GGG,13354197140
AMH,13352412417
JLL,13343849939
LNC,13320030740
LPLA,13217902464
AAL,13138063710
LDOS,13131548258
STLD,13129525502
WRK,13083294000
AOS,13065607997
BLDR,13022068000
RHI,13011160779
PHM,13003612570
MRO,12985992393
NVAX,12845060062
PKG,12832298718
SC,12795452106
REG,12781050711
HST,12759811410
MPW,12754856636
TPR,12671927472
CPB,12552603789
CERC,#N/A
ZEN,12551811644
PNR,12546557073
CSL,12528951764
BRKR,12516103470
ATO,12481356540
NLY,12442038069
QGEN,12423227473
TRGP,12414845853
DAR,12397737066
WAL,12309334721
CHRW,12282518597
CNA,12265467687
IAC,12235734263
RPM,12149163571
RUN,12142907402
ALLE,12125085697
BKI,12103308347
IVZ,12065161969
BAH,12030609305
MHK,12010307890
XRAY,12008077083
NVCR,11945436898
WTRG,11911768433
SNA,11886753600
LAMR,11873368436
AFG,11862922472
GDDY,11815097236
FSLR,11793746277
EWBC,11786836603
DECK,11729949976
WSO,11709178255
FIVE,11703508175
LII,11696297433
JKHY,11679229324
CMA,11640750016
DKS,11620961384
BWA,11568955575
GLPI,11412246134
WIX,11387498864
HUBB,11326714871
LSCC,11292047536
XEC,#N/A
UWMC,11201034263
CTXS,11185140742
MCFE,11177321656
CLF,11152022228
SITE,11105868902
CUBE,11099393449
AXON,11095910000
MANH,11045843619
SCI,11017756955
HSIC,10989946200
LEA,10940829510
FIVN,10932063402
CABO,10924171518
TTC,10919087262
NTRA,10882188179
WYNN,10866049957
CONE,10844647102
UAA,10814384789
UA,10814384789
RE,10793019334
