Tickers,marketcap
RMBS,2623659127
PLXS,2623606367
MPLN,2623315678
SATS,2622238377
ENR,2622054974
SANM,2612258807
WSFS,2609098693
MTX,2598520312
EDIT,2592304391
NHI,2588724834
MSGE,2585919689
VSTO,2566290131
FBC,2560124595
TWNK,2559976350
DY,2557260120
JCOM,#N/A
SAVE,2555108173
PTVE,2551070812
EGHT,2550194190
VRM,2545116022
EVH,2542834667
OAS,2542692760
PCRX,2540817750
HCAT,2535092662
VRTS,2530213384
VRRM,2528202899
GMS,2527635108
TRIL,2526354710
CDNA,2517608912
SAGE,2510679354
BALY,2503433147
CRSR,2502946384
KNL,#N/A
WGO,2501475652
MGLN,2496280316
HRMY,2486793248
AAWW,2485692392
ALKT,2481361662
GDYN,2478919410
ROCK,2477821094
AMRS,2465911200
NKTR,2465682792
BKE,2461788178
BSIG,2456034666
MD,2449198185
CNK,2446359971
CMP,2445681261
CCS,2442603233
CVET,2441318452
JELD,2440860640
BDN,2436837048
ACCD,2425243303
RVMD,2419147627
CDXS,2418549613
MYGN,2414804295
SKYW,2412694338
IRBT,2412226984
OM,2395216635
PSMT,2390422400
NTCT,2381720774
MDP,2381312650
ESE,2381232930
RLJ,2380423906
GKOS,2377331654
TOWN,2376566244
GDOT,2375443345
FFBC,2372810425
PDM,2368530134
UTZ,2367334822
PLMR,2360064773
EPC,2353385575
FMBI,2351693983
VGR,2343262109
AAT,2333011799
PING,2330199456
CPK,2326217655
WAFD,2321776670
MORF,2318971473
NAPA,2315889974
MWA,2315626139
SBH,2313793620
IOSP,2311435955
CAKE,2310581887
FRME,2306036102
PRCH,2298404851
CMPR,2296348560
TDS,2292846976
SASR,2291460431
STFC,2290153238
FLWS,2289852147
PRGS,2289456970
AGIO,2281499153
BBBY,2277894746
NPO,2276834820
NUS,2275430019
TSE,2274687763
LBRT,#N/A
AVAV,2272479698
XNCR,2260896714
WSBC,2253534625
CSWI,2250806324
PRK,2248843281
NSTG,2246962948
MEG,2245770155
MAXR,2244543036
DM,2244409938
VRTV,2238839622
GCMG,2235082415
B,2233676421
SMCI,2231501631
IDCC,2218632227
FBK,2218598235
ROIC,2209909612
EVRI,2208050906
BCRX,2204217225
RNST,2203137273
BANF,2202858472
GNW,2202054449
CXP,2200310061
GSKY,2197902000
LIVX,#N/A
FCPT,2197587922
ATI,2191215638
RCKT,2186537776
JACK,2182324011
GTN,2179411924
MODV,2173602660
HTLF,2172164517
SBCF,2171755062
UUUU,2161128803
CRK,2156881849
WRE,2155685229
UE,2155335475
TPTX,2155326652
RILY,2153745525
LMNX,#N/A
TWO,2152845378
CNR,2150770171
GPRE,2140622968
LDL,#N/A
BGS,2137054936
ROAD,2129872279
TR,2126443692
SJW,2122137021
HMHC,2116945996
ARI,2116596236
TRMK,2114569904
BANR,2112686192
GBT,2108004722
VBTX,2107914408
DRH,2106198000
MNRO,2104333535
SAH,2103983070
SKT,2090088489
XHR,2090026442
STC,2085646504
QTRX,2079775135
RAVN,2076038986
COMM,2071573880
CDMO,2067207585
PGRE,2062569304
ARGO,2059232908
LNTH,2057868840
ODP,2056744056
CBZ,2056600426
AMWL,2055299413
CLBK,2052286053
MNR,2051360152
AMK,2051323400
EPAY,2050876514
NUVB,2047202416
ACLS,2045675790
IRWD,2040721778
GOEV,2040048585
CDEV,2039727379
VVNT,2037029167
CCCC,2034008937
DVAX,2033188186
CASH,2028776279
LAUR,2025530952
THS,2023288607
RLGY,2022805314
TWOU,2020726228
XPER,2018480037
CTRE,2014401780
BAND,2013223749
ATSG,2011541983
EB,2010395503
MDRX,2008961561
KN,1997432871
NTB,1995302137
MFA,1992989127
EBS,1987322795
RPAY,1982410570
GWB,1981989289
VCRA,1981287608
SBGI,1978348641
ICFI,1975665056
AMCX,1972754693
AKR,1972514320
EVOP,1968432607
SPNS,1966828875
SRNE,1966675859
USNA,1964095921
NXRT,1964071750
TREE,1962846389
OI,1961908307
MDLA,#N/A
ASPN,1960609533
CLDX,1958482680
PFS,1957579344
VCEL,1956877832
PRAA,1956043880
XPEL,1954419086
HSKA,1953388337
CYH,1952553248
IGMS,1951922656
SEER,1943199076
PATK,1942631606
MGRC,1941179534
EAT,1940689754
GVA,1938012453
CLNE,1925252917
MYRG,1925028863
EGBN,1922917573
ISEE,1921386538
CUBI,1918488135
HYFM,1917830546
MTOR,1910002026
MMI,1909207405
PI,1908054814
BLFS,1898645265
STAR,1896602404
ALEC,1883980022
MTRN,1878360673
TELL,1877700028
SUMO,1870759719
CVI,1869867338
TGH,1866670583
EFSC,1865954479
ALG,1865946138
LKFN,1864548751
MXIM,#N/A
PBF,1862602767
PTEN,1860720447
SNBR,1857959900
LB,1853840540
ALXO,1852943897
INFN,1852822116
WOW,1849578216
MSEX,1848034244
AEVA,1845868519
ENTA,1844401958
MDCA,#N/A
SHYF,1843948585
BGCP,1843697500
DEA,1842492623
NMIH,1838386996
CDE,1837219694
PLAY,1834706829
MSON,#N/A
TVTX,1825158951
ESRT,1823160280
MEI,1821135035
PMT,1820815428
KAR,1819739143
HOPE,1813818018
INT,1805388020
BLMN,1804617751
NWBI,1800984317
PAR,1800474114
TBBK,1799441343
FBNC,1792932200
SILK,1788789405
HNI,1785933350
ALEX,1777709091
CALM,1776452548
SVC,1774742225
SNCY,1774320139
FRG,1773000240
SLQT,1772390372
PTGX,1770716889
AVYA,1768458300
FOE,1766548563
COHU,1765444203
BV,1763180516
DNMR,1758200456
OCGN,1756818695
CFFN,1756227277
MHO,1753543052
SYBT,1747116285
CLI,1746168453
SUPN,1743265575
GPRO,1740910872
BLI,1732750059
OXM,1726510310
DRNA,1726018676
ECPG,1725567916
LNN,1725060595
GOGO,1721876491
WMK,1719079296
CSGS,1717171134
OSIS,1713648099
CCO,1713360789
KALU,1713327020
HEES,1713180151
NVEE,1711364718
IDT,1710588871
KRO,1708983016
HMN,1700574744
AVXL,1695088191
GIC,1686837223
BLNK,1686789121
SSP,1683496096
RDNT,1683255735
FRO,1677215520
KFRC,1673867999
BFLY,1667995873
LZB,1665664809
DFIN,1662495510
NBTB,1656398875
TRS,1648278257
INBX,1641173398
CRS,1640770718
ADUS,1638452710
MLAB,1638162848
GCP,1637729549
ATGE,1637259363
KOS,1635837766
PLUS,1635334134
PRLB,1634962020
ELF,1631844287
AVAH,1628010672
GFF,1627763113
TLS,1627492695
ASTE,1624713846
GNL,1623477821
NYMT,1619553347
ILPT,1619417910
SENS,1618917252
CMRE,1618041401
RGNX,1616248485
MGPI,1613936102
DLX,1608369705
FRTA,1597976298
AVNS,1594975062
MSGN,#N/A
GIII,1593454135
PRO,1587018290
BIG,1583213390
RWT,1582775600
NOG,1579415126
ENDP,1574942486
AMRX,1570753533
REPL,1568117572
SCHN,1564112273
ENVA,1562110392
TNC,1558895232
ATRA,1557914309
NGM,1556043039
MDGL,1553099592
OPRX,1549859300
LRN,1549011012
INO,1546335609
WRLD,1537715569
WABC,1533785653
BUSE,1533679805
LADR,1533133453
EXTR,1528678243
GEVO,1526212788
REAL,1525322268
MVIS,1524524295
AVID,1519941969
NRIX,1519506579
DCOM,1515827916
YEXT,1511127860
STRA,1508009405
PLCE,1507745277
FCF,1496129602
TTMI,1490239352
MBUU,1488786790
DIN,1484623692
LUNG,1481283691
NAV,#N/A
BNGO,1480622558
CMCO,1480585397
AXSM,1479776863
SGMO,1478597134
KRA,1474956238
BTU,1472744053
HCSG,1465535888
CSR,1465039520
GTY,1464126157
SPNT,1462277521
MRTN,1460623815
GDEN,1460100180
LORL,1458788956
GES,1456978800
ALVR,1453943305
WW,1453636183
SXI,1453037600
SGH,1452246115
KROS,1447674450
CENX,1442065920
ORGO,1436926681
AVO,1435491129
ATRI,1434095044
OFLX,1432888693
FARO,1432817932
CHRS,1429744398
SBSI,1426600992
GLNG,1422829958
GOCO,1420738156
UEC,1416657741
NWN,1415743068
ASIX,1415342591
RXDX,1411613108
PBI,1410277486
GRWG,1409114408
SNEX,1405592153
SHEN,1405526097
AGM,1405144908
TGI,1404004388
RADI,1397863863
PCVX,1396166728
HIBB,1395261806
UIS,1394752055
BTRS,1394347145
SCS,1393931795
EPAC,1386464998
AZZ,1386047987
ALX,1380705030
CNOB,1379344698
ICHR,1378484751
FDP,1377865670
GBX,1376374598
TCBK,1376083166
TVTY,1372638926
NBHC,1371887969
DK,1371311390
CXW,1370042774
HTLD,1369786508
JYNT,1363212777
PRIM,1357898759
GRBK,1357321318
HCI,1356058419
MCRI,1355764468
AIR,1354998339
VECO,1354010604
MBIN,1353775915
PLBY,1352858512
PRA,1348509054
HYLN,1348377510
MNRL,1345841515
OFG,1345381584
LTC,1344623526
HPK,1344311309
BHLB,1342023766
BANC,1338988049
BRMK,1338860282
VLDR,1335840997
TTCF,1335007114
SCHL,1329601992
BKD,1329046988
PGTI,1319854685
OPI,1318630971
KREF,1315001094
ARKO,1312713313
OCFC,1307773686
ARCH,1307532084
CSTL,1307521578
ATLC,1297543572
FFWM,1295338517
CNXN,1290549915
ZUMZ,1288669925
USPH,1287802956
KIDS,1284997621
BRKL,1284935486
RGR,1284902942
ERII,1283542322
ECHO,1282011028
ATEN,1281899900
OII,1281415580
CHEF,1280487959
CRNX,1276797003
EBSB,1274439915
SCU,1273173162
STBA,1270623806
LOVE,1269803622
AROC,1266289397
BRSP,1257419888
RUBY,1256323982
CERS,1255821320
ANDE,1254556455
MNKD,1253769378
SFL,1251866753
SRCE,1245828451
CNDT,1244844294
CHCO,1242412858
HZO,1239704077
SRRK,1235103672
PDFS,1234634677
AMWD,1234334625
INVA,1234181310
MATW,1230049373
TMP,1229759440
SAFT,1228539580
BVS,1225412000
MGNX,1224547405
OEC,1222973867
AHH,1222226692
NRC,1214299516
UVV,1210436496
POLY,1210158000
APOG,1208716605
ACEL,1207822862
GBIO,1205348945
CTS,1203264701
AOSL,1203078703
THRY,1202223475
BFS,1200641996
IMAX,1200546628
GRC,1199473579
MODN,1199121444
LEU,1196659415
HSC,1193599132
LMAT,1189084017
PCT,1188989680
LASR,1184978577
PFC,1184413622
INNV,1184413304
VIEW,1180024207
KURA,1179368553
AGYS,1178139075
HRTX,1175315134
RC,1173820298
HCC,1172170076
GEO,1171433695
RNA,1164923722
RMR,1164606472
NXGN,1162586310
SMP,1159347316
IMGN,1158983497
TMCI,1157567961
CHCT,1154941425
RPT,1153925683
REVG,1152503136
ATEC,1151799533
GNOG,1149950703
ANGO,1149463779
HURN,1148920027
PVAC,#N/A
LPI,1145040035
OUST,1142309843
SLP,1137740643
HA,1137435796
UMH,1133210425
IESC,1132311347
EIG,1130319379
JOUT,1130295682
NHC,1129451239
ECOL,1126565082
KAMN,1125428194
ATEX,1124943837
EBIX,1123555985
PAYA,1123488528
VERI,1120362679
SCVL,1119089803
FGEN,1117155276
DSGN,1113806437
FORR,1113068286
AXL,1109810558
GABC,1108034258
AMTB,1107683881
HLIT,1104660637
PMVP,1103313634
CSII,1102977438
RAPT,1101476707
CEVA,1098609021
AMSF,1097167070
JRVR,1097105930
RES,1095885015
DBI,1093534873
SWM,1090657123
OBNK,1088806497
OLMA,1088571781
FOR,1087120321
RYI,1086938649
VREX,1085469969
SWBI,1083616310
RVNC,1083383844
DNOW,1077948300
TEN,1075682558
GCO,1075614018
GMRE,1072271811
MCB,1070273336
APR,1069470836
STNG,1067578574
ARQT,1065757221
ITOS,1065624184
BRBR,1064411005
HMST,1062378035
INN,1057055483
KRYS,1056304525
COWN,1054372754
AFIN,1051040343
ZY,1050519371
DHT,1050133171
NESR,1049740626
MNMD,1048931000
CLAR,1048597340
STOK,1045599654
ALTM,1044972302
PFBC,1043311467
PLOW,1038968276
MAX,1032493519
CCF,1032141281
GLDD,1032063508
EFC,1028528844
ADTN,1028121007
CAL,1024435983
TRTX,1021655834
BY,1021224167
BOMN,1020375450
NGMS,1019805949
AMPH,1019186858
KRNY,1017677489
PLYM,1017400216
VTOL,1016117784
RIDE,1005233305
WKHS,1005130045
KNTE,1004573328
NEX,1004170128
TSC,1000266440
WASH,999974048
JBSS,997846500
IVR,997569934
AGEN,996505085
WETF,995612399
ARCT,990628389
VNDA,989449217
ESTE,986143162
BGFV,984351148
IMVT,983251731
BMTC,981906461
TILE,980902423
YMAB,979805812
VVI,978268349
CAI,971327922
GATO,966500138
BTAI,966161106
CLFD,964685645
LBAI,964051119
CCRN,960732550
PROS,#N/A
TBI,959303775
KRON,955086438
IDEX,953269704
PUMP,952049676
DENN,949522999
PARR,948611276
EWTX,946972849
VUZI,946202925
TCX,945396537
BCAB,943225331
WINA,942484964
AVIR,940345896
ARR,939940888
PEBO,938648017
PQG,#N/A
NTST,936336826
PRAH,#N/A
LE,933692658
SKYT,931965420
ORMP,931530098
SPTN,927565955
MDXG,926312769
OSW,925715572
PAE,925585227
QNST,925375315
PFBI,#N/A
CGEM,924801503
GOSS,923679436
BHE,923581121
KNSA,922416101
PAHC,921861945
RBBN,921474351
LAND,921275579
SCSC,920905687
INSW,919499880
HNST,919387682
LQDT,917907900
ORBC,915250400
HSII,913972161
ACRS,912899480
AC,911881030
GOOD,911550173
PRAX,911469232
HFWA,911166600
CPLG,909989566
XENT,907814536
CARS,907309267
NTUS,906402500
FMTX,902761366
STRO,902271630
FNKO,901834172
WNC,900976306
ANAB,900884380
TUP,899396397
VIVO,898723010
NFBK,895624356
PGEN,895177689
NCBS,895109496
PRPL,892821531
RDUS,891453810
MASS,888612781
QCRH,888230937
NOTV,888183938
FOSL,886447660
CEIX,885795842
FBMS,885349741
IDYA,884415819
UVSP,884059293
AKRO,883051671
TPIC,881290986
BCOR,876449581
QADA,#N/A
NP,875152389
PLAB,873238976
SNDX,871406774
ACCO,871150862
CNSL,871011837
MGTX,869859479
CARA,868703387
HBNC,867367364
ZGNX,867317306
FTCI,865777367
TA,865154653
DMRC,861421314
TALO,859755435
ABTX,856670906
NWLI,855010100
HSTM,853126017
VXRT,853096183
AMRK,852996787
DGII,852092514
NSSC,850620750
GTS,848277882
ASLE,847961800
BW,847942182
AMTI,846770760
POWW,844244730
REV,842458378
IIIN,841141422
CSV,839605910
LIND,836836837
RPAI,#N/A
MOV,836465238
HCCI,834018434
STRL,832737231
ORC,832280988
IHC,831188026
NTGR,829078297
AAN,827064729
CRMT,824901143
PSNL,823575158
BLUE,818852818
PZN,818424594
DHC,817362234
CIO,817079991
GRPN,817049161
BJRI,815396152
HIFS,814112000
NPTN,812035489
FMBH,811266954
UHT,809834087
VSEC,809113090
RBC,#N/A
ECOM,806814050
CTBI,804722429
FDMT,802827459
TSHA,802260647
PTSI,800692507
GLT,799225399
CPF,798189050
CMBM,797246826
NBR,796666445
MCF,796656175
CRY,796030690
BOOM,795805275
HNGR,794299668
TPC,794176296
CUTR,793327011
HONE,793158269
UBA,792071822
OPRT,787481726
TPB,786445376
SLCA,784489478
HWKN,783069304
PRTS,782851790
CLSK,781773239
ONTF,780937394
OSPN,780925906
MYE,779504985
GSBC,778705147
VERU,776976950
USLM,775209842
VBIV,774487144
CTRN,774423699
VITL,772651453
INGN,770573888
CRAI,770559342
RXN,#N/A
BRY,770468863
CFB,770401147
AMBC,768648575
RAD,768527947
NX,767983974
SP,767979973
CHS,767862444
GRTS,766902591
MTW,766004588
GCI,764298658
CPRX,764100659
SPWH,763816039
PRLD,762915221
XL,760941095
LXRX,759368055
LBC,757748710
MITK,757214037
VHI,754432769
DSP,753502516
PNTG,753219845
DRQ,748411348
FULC,747719524
ACRE,747328920
MBI,746997787
INDT,745547043
DMTK,745292008
GBL,745104924
ONEW,744882642
TMDX,744746065
TRNS,742857166
KDNY,741896436
CAC,741129558
CBTX,739845668
SCWX,#N/A
SIBN,739789024
EHTH,738867080
TITN,738647517
KOP,737198293
ATOM,735725540
CVGW,735625253
FFIC,735615022
DYN,735311147
HY,735167237
ALGS,733424590
APTS,731186353
GPMT,730998769
PRTY,729464450
PRDO,728396376
HTBK,726253872
UPLD,725311785
FNCH,721676534
CURO,721669573
WTTR,720587329
HAFC,719450909
INSG,718012620
OSUR,716782364
EVC,715018623
CONN,713492010
CTLP,713229921
TMST,712534610
FC,712371178
AGX,711990240
BXC,709655746
MCRB,709059824
CMTL,708693413
IIIV,707935122
AFMD,707615510
DBD,704413679
OLP,704288548
VRS,696042107
ORIC,693908406
SRDX,692628964
DHIL,692190515
PHAT,684843052
MRC,683649842
ATNI,683429036
MCBS,682722802
PETQ,682056652
TCS,681696507
BLBD,681198952
KRUS,676058081
DXPE,674931157
COLL,673398260
BLX,673078074
UTL,672303993
QUOT,672282200
BZH,669687094
RICK,666263252
OPY,666218763
MCS,665780493
RRD,665212882
EGRX,665064305
LXFR,664553983
KE,662161984
RYTM,662033646
VOR,661888625
SRG,661014784
TALS,660707143
AMTX,658824941
CIR,658213400
YELL,657995655
MRSN,657274150
HCKT,656619233
TRST,655158667
APPH,654537650
CATC,653984401
ARLO,653320427
DX,653017878
CLW,652219046
RUTH,652015590
CHUY,651287439
PGC,650720547
HOME,648730351
LEGH,648573866
GNK,648154162
IMXI,646393161
GTHX,646336671
FSP,645415811
NKTX,643831501
BVH,642271867
KPTI,641398257
YORW,641208081
OFIX,641128616
PLSE,640376241
CASS,631717214
BMRC,631554956
ANNX,631266147
CLDT,631060228
NPK,629543443
DSKE,629266929
RMNI,622284306
PETS,622004739
THR,618824532
SPKE,#N/A
AMOT,617432994
ATRS,615553468
HMPT,612525706
RGP,611963500
RM,609368103
IKNA,608979125
HVT,607384325
RMO,607276426
DCO,606889880
AROW,606691764
ATHA,605087848
PLRX,604373878
TBPH,604326701
ACBI,603456264
LABP,600961479
WORK,#N/A
BBSI,599793512
DTIL,598557928
SRI,597654329
ALRS,597636263
XONE,597045392
IPI,595125157
AMAL,594883479
RMAX,592611313
VEC,592502101
MOD,589575426
EQBK,588943860
RBNC,587311423
IEA,587211296
TCMD,585572028
FCBC,583515002
ANIP,580967925
KOPN,580798277
BYSI,578905115
MGI,577637000
BFST,576804545
THFF,575375280
MBWM,573545400
HAYN,573403691
HLX,573376672
VSTM,572063745
EOSE,571892625
GAN,571440464
VAPO,569946177
WTI,569468800
APYX,568384721
ULH,568000405
FPI,566435862
KODK,563936208
FRPH,563720591
ICPT,562574335
TARS,562207369
BFC,562016628
SXC,561628593
AERI,561186630
TRC,560668916
ANIK,559280494
MSBI,558994605
ALBO,558116353
SPNE,556101418
SIGA,555130995
MCFT,554920741
WTBA,554090515
HOV,552926893
WSBF,550617773
ALTG,549853648
BWB,549548333
EVLO,548498996
DLTH,546095047
HBT,545650666
UFCS,544255983
RIGL,543799091
SPRO,542713441
FHTX,542649819
LOCO,541102214
DCPH,540362855
NDLS,538678967
BNED,538571703
EGLE,537522457
AVD,537315094
SYKE,#N/A
CRIS,536829631
INVE,534724642
OCUL,533972659
DSPG,532338442
ARAY,531527890
MOFG,531322664
CMRX,529860814
CCB,528172051
STTK,527236799
CUE,525961149
SMMT,525861621
FISI,525337143
CVM,524513130
WLDN,524462980
REX,522934673
URG,522835340
RBB,522648937
VPG,520908210
LPG,520219067
EBF,520078264
STKS,517896044
UEIC,517779189
FLIC,513916587
FMNB,513753443
OMER,513472039
SFT,513470541
ALDX,512372216
CLVS,512117267
UFPT,512060073
CASA,511737766
TWI,511512052
OOMA,510419983
BBCP,509345460
TIPT,508165039
LL,507879596
ZYXI,507783487
HTBI,507434137
IBCP,506392345
AXGN,505816236
GERN,505459946
SMBC,504972277
SFST,504161432
TH,504046105
CVLG,501359020
MVBF,501085641
AKBA,500922318
IRMD,497248715
AKYA,496352324
TLYS,496243776
LAWS,495677677
CSTR,494074810
TDW,490397732
DJCO,490178650
GNTY,488313606
EBTC,487341339
FSBC,486400108
UVE,486214883
STXS,485789420
REPX,485642016
XXII,484990235
MIRM,484591383
WSR,484254656
BHB,482574327
ZIXI,481583159
VKTX,481144519
FREE,479814185
AUD,479568737
CCBG,477824663
FLMN,475072015
ADN,474608255
PASG,473435462
TNK,473377032
APEI,470722714
BH,469673739
JOAN,469661300
ABUS,469384127
SPFI,467882362
CPSI,467724693
EPZM,467527500
HEAR,465654346
CCNE,464544575
CURI,463886737
MRNS,463623660
GLSI,463312757
MPX,463311645
FLXN,461437705
GTYH,461144043
CTMX,458048750
PSTX,456295782
SB,456153000
AMSC,455461921
PRTH,454923231
EZPW,454619087
AHT,454340678
EVER,453813655
HMTV,450635158
SMBK,448615548
STXB,447815176
XBIT,447781822
ITIC,447353483
JNCE,445819223
TBIO,#N/A
ATRO,444600354
CNTY,444222150
VTGN,443339111
INBK,443239752
SOLY,443161010
HOWL,442374563
ALT,441496054
USX,439228016
HT,438802600
UFI,436727817
ATCX,435545581
REKR,435080089
EBET,434516879
MGTA,434363943
CZNC,433467527
TG,433251265
KALV,431816988
CATO,431645395
TIG,431395486
CSTE,431220208
FUV,430759543
PAVM,428924000
AXDX,428645856
URGN,427804553
TTI,426519730
LCTX,426451735
BTX,426251892
CRTX,426054582
RAIN,425849850
SSTI,425785702
PPTA,425252090
SELB,424602008
RLGT,423660089
CARE,423382720
NODK,422536094
MILE,421546283
EVI,421272950
CTT,420929193
TRCH,#N/A
HBMD,419722481
RYAM,419391758
GWRS,419009830
CDXC,418626657
VEL,418517799
COGT,418435710
KRT,418432675
DMS,418380808
LOTZ,418316884
BCOV,418305069
MLR,417518246
ASXC,417213659
ALTO,417181590
BSRR,416553393
KBAL,415625211
HFFG,415307200
AMNB,414765140
LCUT,413941955
RCEL,412510551
AFCG,411399113
AKTS,410635121
FTHM,410446584
CPS,409658083
GNUS,409315668
LLNW,406787866
LSEA,404959537
SGC,404071600
EYPT,403085359
KZR,402509732
EOLS,401265783
PRVB,400528304
RLMD,398733398
VALU,398054937
PLM,396193599
UTMD,395657185
HGEN,395524524
OSBC,395018371
FRST,393931015
SQZ,393777056
BOLT,390743114
FF,389930372
QMCO,388293050
CLPT,387925996
AXTI,387235202
CBNK,386234388
APLT,385599423
INS,384304116
RRBI,382956939
TRUE,381770158
PCYO,381265980
ALPN,379862210
CIVB,379405742
DZSI,378343607
FLDM,376309305
OIS,375006207
BYRN,373808668
FTSI,370274839
FLL,369656790
VRA,368450893
MPAA,366808058
HBCP,366170583
TK,362611319
USCR,#N/A
BNFT,362248854
BRT,362174120
MEIP,361835056
AVNW,360494802
PVBC,359583915
OTLK,359449246
CAMP,359178127
EGAN,358450619
NATR,357864659
SMMF,357326281
KIRK,357133345
TRHC,356718366
NVEC,355000802
ETNB,354549838
PFIS,351391613
FBIO,350684448
SOI,349266993
ATER,349007448
AGLE,347212446
FOA,346715040
MEC,346197878
BRBS,345458520
NAT,345453492
FORA,345121278
BMEA,344180654
MPB,343349514
AOUT,341883865
NPCE,340396000
FNLC,340334564
VRCA,339256372
CLNN,339009172
NL,338202841
PBFS,336930516
PLPC,336528155
EEX,336243769
SPPI,336110407
GHL,335849584
ATOS,335551492
BHR,335415639
STON,333973101
CTO,331853212
SMSI,328772862
ZIOP,328541611
HBIO,328524613
INFU,328067252
OYST,327833158
ESGC,326789700
FIXX,326544148
MIC,324571553
CIA,324128549
CDAK,323856049
AJX,323770984
SIEN,323623255
IBEX,323252300
POWL,323157751
KMPH,322113106
BDSI,320098781
EMKR,319420110
AKUS,316528246
HOFT,316104712
HQI,313721610
VOXX,312292453
RRGB,311651649
ACET,311565540
OCN,311169362
RVP,309822889
TACO,309335485
RCKY,307338324
LUNA,305588667
NR,305371988
GBOX,304764203
CBAY,304483941
NCMI,303659398
FDBC,303631217
SCOR,303315200
MESA,302202475
MTEM,302046118
FRBA,300969268
SURF,300340488
NWPX,299966555
MCBC,299502568
CVGI,298125186
NGVC,297668010
SBTX,296392869
AGS,296168110
PKOH,296102115
PCSB,294922560
SNSE,294341404
BEEM,294206924
VHC,294191719
CSLT,293457281
XOMA,292847737
FSBW,291716500
LMNR,291278361
PKE,290301849
PRTG,289578537
FRGI,288673795
NMTR,287871001
OCX,287762082
CSSE,287689970
VINC,287147812
VMD,286357789
NRIM,285179872
MTRX,283173909
TLMD,282320627
DRIO,280989314
LNDC,280180773
VRAY,#N/A
ZEUS,280034657
EAR,279944338
BDTX,279686714
VEI,#N/A
MRLN,276967769
MHLD,275755599
ORRF,275118338
WVE,274159487
ACTG,273336950
CTSO,273027028
AMPE,272875099
MG,269542884
NLTX,268994350
CIX,268086104
CTXR,267142308
TXMD,266665900
AQB,266346487
DRRX,266181776
PRTK,264997085
PSTL,264682726
NLS,264062761
AWH,263497264
TCRR,263338757
SYRS,260797419
CELC,260694615
ATHX,260193244
ODC,259070421
IMPL,258640179
EIGR,256517296
ESCA,256297080
ESPR,255589905
NATH,255139486
IMUX,254619562
NNBR,251746204
HARP,250198917
LAZY,249765129
GLRE,249095082
NEXI,242572166
WLFC,241219189
CDZI,240727809
CECE,239920829
SESN,239356329
TNXP,238434143
HBB,237744595
WTRE,#N/A
SLDB,237135550
INZY,236410747
AVRO,232231094
DAKT,231601037
DS,230213550
ICAD,225231145
ATNX,225197133
TERN,224416265
INFI,224318806
MBIO,222108081
ITI,221395157
SEEL,221162408
HOFV,220477482
CRDF,218327701
UIHC,216898235
RPHM,215987091
ADVM,215934624
FREQ,214762009
QTNT,214352990
BDSX,210640696
UAVS,209656444
XGN,208033509
FLNT,207626148
FRBK,207497950
BCEL,206557333
VIRX,203721828
KVHI,202220152
GNLN,202029405
CRMD,200715485
ONCT,199686007
FLXS,197492829
NBEV,196729022
SRT,196269065
ETH,185285727
HRTG,184009251
NH,181248970
KLDO,180174059
BSET,177458843
TAST,174329972
LSF,168950960
IBIO,166422213
SGTX,166392949
RGS,160156098
OTRK,158109930
HYRE,158093793
GTBP,157804921
SMED,155949129
ONCR,155886359
MBII,153679968
TRVN,153046690
PBYI,152094619
IVC,148483435
GMTX,147434390
CSPR,147143025
CLPR,146496564
TLIS,145108698
RFL,140342155
STIM,135267637
KALA,134490172
ANGN,132304897
RVI,128603385
AFIB,125971631
HOOK,124928448
CMO,122348439
ARDX,115493168
SPRB,104497509
MDVL,76536186
TISI,50461587
FBRX,49575286
COG,42547172
ALTA,40250588
CORE,22977988
SNR,13436550
CBB,10253883
GRA,5438310
STMP,2220908
ARD,1779480
WRI,1469130
